fonts-filesystem 2.0.5
kbd 2.6.3
kasumi-common 2.5
javapackages-filesystem 6.1.0
ipxe-roms-qemu 20220210
geolite2-country 20191217
geolite2-city 20191217
ipcalc 1.0.3
gawk-all-langpacks 5.2.2
gawk 5.2.2
m17n-lib 1.8.4
fedora-chromium-config-gnome 3.0
f39-backgrounds-base 39.0.4
f39-backgrounds-gnome 39.0.4
dhcp-common 4.4.3
catatonit 0.1.7
json-glib 1.8.0
libgudev 238
cyrus-sasl-gssapi 2.1.28
python-pip-wheel 23.2.1
libfprint 1.94.5
fprintd 1.94.2
adcli 0.9.2
libkcapi 1.4.0
libkcapi-hmaccalc 1.4.0
fprintd-pam 1.94.2
kpartx 0.9.5
cracklib-dicts 2.9.11
cracklib 2.9.11
libpwquality 1.4.5
gzip 1.12
libnsl2 2.0.0
libevent 2.1.12
avahi-libs 0.8
openssl-pkcs11 0.4.12
tpm2-tools 5.5
authselect 1.4.3
libutempter 1.2.1
authselect-libs 1.4.3
ca-certificates 2023.2.60_v7.0.306
openssl-libs 3.1.1
kmod-libs 30
openldap 2.6.6
libldb 2.8.0
kmod 30
cryptsetup-libs 2.6.1
libfido2 1.13.0
os-prober 1.81
logrotate 3.21.0
cairo 1.18.0
harfbuzz 8.2.1
freetype 2.13.1
fontconfig 2.14.2
cairo-gobject 1.18.0
libarchive 3.7.1
gsettings-desktop-schemas 45.0
graphene 1.10.6
polkit-pkla-compat 0.1
gobject-introspection 1.78.1
python3-gobject-base 3.46.0
python3-gobject-base-noarch 3.46.0
python3-dbus 1.3.2
shared-mime-info 2.2
gdk-pixbuf2 2.42.10
colord-libs 1.4.6
avahi 0.8
dconf 0.40.0
PackageKit-glib 1.2.6
totem-pl-parser 3.26.6
python3-six 1.16.0
ModemManager-glib 1.20.6
gcr-libs 4.1.0
gcr3-base 3.41.1
glibmm2.4 2.66.6
avahi-glib 0.8
libportal 0.7.1
daxctl-libs 78
iptables-nft 1.8.9
which 2.21
parted 3.6
enchant2 2.5.0
libmbim 1.28.4
libudisks2 2.10.1
malcontent-libs 0.11.1
nss-mdns 0.15.1
appstream 0.16.1
poppler 23.08.0
libimobiledevice 1.3.0^20230705git6fc41f5
python3-libselinux 3.5
python3-systemd 235
libgee 0.20.6
upower-libs 1.90.2
upower 1.90.2
poppler-glib 23.08.0
poppler-utils 23.08.0
fuse 2.9.9
ndctl-libs 78
gvnc 1.3.1
accountsservice 23.13.9
accountsservice-libs 23.13.9
libXfont2 2.0.3
harfbuzz-icu 8.2.1
cairomm 1.14.5
ppp 2.5.0
plymouth 22.02.122
plymouth-scripts 22.02.122
raptor2 2.0.15
python3-distro 1.8.0
python3-setuptools 67.7.2
libpinyin-data 2.8.1
libpinyin 2.8.1
libqrtr-glib 1.2.2
libqmi 1.32.4
libxklavier 5.4
pulseaudio-libs-glib2 16.1
xdg-dbus-proxy 0.1.5
atkmm 2.28.3
glib-networking 2.78.0
geoclue2 2.7.0
geoclue2-libs 2.7.0
geocode-glib 3.26.4
libgweather4 4.4.0
rest 0.9.1
libsoup 2.74.3
libphodav 3.0
python3-pyparted 3.13.0
vpnc-script 20230907
jxl-pixbuf-loader 0.8.2
libjxl 0.8.2
libavif 0.11.1
gd 2.3.3
libmediaart 1.9.6
malcontent 0.11.1
libgxps 0.3.2
pinentry 1.2.1
gpgme 1.20.0
libbluray 1.3.4
libraqm 0.8.0
python3-gobject 3.46.0
initscripts-service 10.19
iputils 20221126
switcheroo-control 2.6
libmtp 1.1.19
libcacard 2.8.1
liboauth 1.0.3
libuser 0.64
zeromq 4.3.4
libnvme 1.6
libtpms 0.9.6
mokutil 0.6.0
net-snmp-libs 5.9.4
perl-Digest 1.20
perl-Digest-MD5 2.58
perl-Data-Dumper 2.188
perl-libnet 3.15
perl-URI 5.21
perl-Text-Tabs+Wrap 2023.0511
perl-Mozilla-CA 20230801
perl-IO-Socket-IP 0.42
perl-Time-Local 1.350
perl-File-Path 2.18
perl-Pod-Escapes 1.07
perl-IO-Socket-SSL 2.083
perl-Net-SSLeay 1.92
perl-Term-ANSIColor 5.01
perl-File-Temp 0.231.100
perl-Term-Cap 1.18
perl-Pod-Simple 3.45
perl-HTTP-Tiny 0.088
perl-Socket 2.037
perl-podlators 5.01
perl-Pod-Perldoc 3.28.01
perl-Text-ParseWords 3.31
perl-Pod-Usage 2.03
perl-MIME-Base64 3.16
perl-Scalar-List-Utils 1.63
perl-constant 1.33
perl-Storable 3.32
perl-parent 0.241
perl-Getopt-Long 2.54
perl-Carp 1.54
perl-Exporter 5.77
perl-PathTools 3.89
perl-Encode 3.19
trousers-lib 0.3.15
openconnect 9.12
xmlrpc-c 1.51.08
tesseract-langpack-eng 4.1.0
tesseract 5.3.2
python3-charset-normalizer 3.2.0
python3-idna 3.4
python3-pid 2.2.3
python3-pyudev 0.24.1
dbus-glib 0.112
desktop-file-utils 0.26
xdg-utils 1.1.3
gnome-menus 3.36.0
gupnp-av 0.14.1
libgexiv2 0.14.2
libmanette 0.2.6
libslirp 4.7.0
libvirt-gconfig 4.0.0
wpebackend-fdo 1.14.2
xmlrpc-c-client 1.51.08
NetworkManager-openconnect 1.2.10
trousers 0.3.15
perl-Error 0.17029
perl-TermReadKey 2.38
swtpm-libs 0.8.1
passwd 0.80
usermode 1.114
dhcp-client 4.4.3
fros 1.1
gpgmepp 1.20.0
volume_key-libs 0.3.12
pinentry-gnome3 1.2.1
avif-pixbuf-loader 0.11.1
vpnc 0.5.3
NetworkManager-vpnc 1.2.8
libgrss 0.7.0
dleyna 0.8.3
gupnp-igd 1.6.0
libnice 0.1.21
libqmi-utils 1.32.4
libzhuyin 2.8.1
python3-setools 4.4.3
rasqal 0.9.33
redland 1.0.17
pptp 1.10.0
NetworkManager-pptp 1.2.12
gvncpulse 1.3.1
libpmem 1.13.1
liblouisutdml-utils 2.11.0
python3-libsemanage 3.5
libgpod 0.8.3
usbmuxd 1.1.1^20230720git61b99ab
poppler-cpp 23.08.0
libmbim-utils 1.28.4
ModemManager 1.20.6
python3-enchant 3.2.2
cxl-libs 78
ndctl 78
avahi-gobject 0.8
jack-audio-connection-kit 1.9.22
python3-dateutil 2.8.2
avahi-tools 0.8
python3-dasbus 1.7
realmd 0.17.1
cups-pk-helper 0.2.7
python3-cups 2.0.1
libXft 2.3.8
pango 1.51.0
spice-server 0.15.1
cogl 1.22.8
libtracker-sparql 3.6.0
tracker 3.6.0
gdk-pixbuf2-modules 2.42.10
gupnp-dlna 0.12.0
libdmapsharing4 3.9.13
spice-glib 0.42
tslib 1.22
dleyna-server 0.8.3
libchromaprint 1.5.1
gst-editing-services 1.22.5
totem-video-thumbnailer 43.0
lasi 1.1.3
pangomm 2.46.3
plymouth-plugin-label 22.02.122
plymouth-plugin-two-step 22.02.122
plymouth-theme-spinner 22.02.122
libass 0.17.1
mkfontscale 1.2.2
xorg-x11-fonts-ISO8859-1-100dpi 7.5
frei0r-plugins 2.3.1
gnome-video-effects 0.6.0
cyrus-sasl 2.1.28
zram-generator 1.1.2
gssproxy 0.9.1
hypervfcopyd 0
hypervkvpd 0
hypervvssd 0
iio-sensor-proxy 3.5
libftdi 1.5
flashrom 1.3.0
lockdev 1.0.4
libgphoto2 2.5.30
mdadm 4.2
numad 0.5
rpcbind 1.2.6
usb_modeswitch 2.6.1
usb_modeswitch-data 20191128
wireless-regdb 2023.05.03
wpa_supplicant 2.10
media-player-info 23
udftools 2.3
libsrtp 2.3.0
xmlsec1-nss 1.2.37
cifs-utils-info 7.0
cifs-utils 7.0
fuse-overlayfs 1.12
ima-evm-utils 1.5
lsof 4.96.3
quota 4.09
apr-util-bdb 1.6.3
apr-util 1.6.3
apr-util-openssl 1.6.3
mod_dnssd 0.6
hfsplus-tools 540.1.linux3
isns-utils-libs 0.101
iscsi-initiator-utils-iscsiuio 6.2.1.9
iscsi-initiator-utils 6.2.1.9
libfsverity 1.4
